Country name,Region,Happiness score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Healthy life expectancy,Freedom,Trust (Government Corruption),Generosity
Ireland,Western Europe,6.907,6.836,6.978,1.48341,1.16157,81.455,0.54008,0.29754,0.44963
Luxembourg,Western Europe,6.871,6.804,6.938,1.69752,1.03999,84.542,0.5487,0.35329,0.27571
Mexico,Latin America and Caribbean,6.778,6.68,6.876,1.11508,0.7146,71.143,0.37709,0.18355,0.11735
Singapore,Southeastern Asia,6.739,6.674,6.804,1.64555,0.86758,94.719,0.4877,0.46987,0.32706
United Kingdom,Western Europe,6.725,6.647,6.803,1.40283,1.08672,80.991,0.50036,0.27399,0.50156
Chile,Latin America and Caribbean,6.705,6.615,6.795,1.2167,0.90587,81.883,0.37789,0.11451,0.31595
Panama,Latin America and Caribbean,6.701,6.601,6.801,1.18306,0.98912,70.835,0.48927,0.08423,0.2418
Argentina,Latin America and Caribbean,6.65,6.56,6.74,1.15137,1.06612,69.711,0.42284,0.07296,0.10989
Czech Republic,Central and Eastern Europe,6.596,6.515,6.677,1.30915,1.00793,76.376,0.41418,0.03986,0.09929
United Arab Emirates,Middle East and Northern Africa,6.573,6.494,6.652,1.57352,0.87114,72.993,0.56215,0.35561,0.26591
Uruguay,Latin America and Caribbean,6.545,6.456,6.634,1.18157,1.03143,72.183,0.54388,0.21394,0.18056
Malta,Western Europe,6.488,6.409,6.567,1.30782,1.09879,80.315,0.54994,0.17554,0.56237
Colombia,Latin America and Caribbean,6.481,6.384,6.578,1.03032,1.02169,59.659,0.44735,0.05399,0.15626
France,Western Europe,6.478,6.397,6.559,1.39488,1.00508,83.795,0.46562,0.17808,0.1216
Thailand,Southeastern Asia,6.474,6.396,6.552,1.0893,1.04477,64.915,0.49553,0.02833,0.58696
Saudi Arabia,Middle East and Northern Africa,6.379,6.287,6.471,1.48953,0.84829,59.267,0.37904,0.30008,0.15457
Taiwan,Eastern Asia,6.379,6.305,6.453,1.39729,0.92624,79.565,0.32377,0.0663,0.25495
Qatar,Middle East and Northern Africa,6.375,6.178,6.572,1.82427,0.87964,71.723,0.56679,0.48049,0.32388
Spain,Western Europe,6.361,6.288,6.434,1.34253,1.12945,87.896,0.37545,0.06137,0.17665
Algeria,Middle East and Northern Africa,6.355,6.227,6.483,1.05266,0.83309,61.804,0.21006,0.16157,0.07044
Guatemala,Latin America and Caribbean,6.324,6.213,6.435,0.83454,0.87119,54.039,0.50379,0.08701,0.28808
Suriname,Latin America and Caribbean,6.269,6.073,6.465,1.09686,0.77866,50.933,0.52234,0.12692,0.16665
Kuwait,Middle East and Northern Africa,6.239,6.154,6.324,1.61714,0.87758,63.569,0.43166,0.23669,0.15965
Bahrain,Middle East and Northern Africa,6.218,6.128,6.308,1.44024,0.94397,65.696,0.47375,0.25772,0.17147
Trinidad and Tobago,Latin America and Caribbean,6.168,5.95,6.386,1.32572,0.98569,52.608,0.48453,0.01241,0.31935
Venezuela,Latin America and Caribbean,6.084,5.973,6.195,1.13367,1.03302,61.904,0.19847,0.08304,0.0425
Slovakia,Central and Eastern Europe,6.078,5.996,6.16,1.27973,1.08268,70.367,0.23391,0.02947,0.13837
El Salvador,Latin America and Caribbean,6.068,5.967,6.169,0.8737,0.80975,59.6,0.37269,0.10613,0.08877
Malaysia,Southeastern Asia,6.005,5.921,6.089,1.25142,0.88025,62.366,0.39031,0.09081,0.41474
Nicaragua,Latin America and Caribbean,5.992,5.877,6.107,0.69384,0.89521,65.213,0.46582,0.16292,0.29773
Uzbekistan,Central and Eastern Europe,5.987,5.896,6.078,0.73591,1.1681,50.163,0.60848,0.28333,0.34326
Italy,Western Europe,5.977,5.898,6.056,1.35495,1.04167,85.102,0.18827,0.02556,0.16684
Ecuador,Latin America and Caribbean,5.976,5.88,6.072,0.97306,0.85974,68.613,0.4027,0.18037,0.10074
Belize,Latin America and Caribbean,5.956,5.71,6.202,0.87616,0.68655,45.569,0.51231,0.10771,0.23684
Japan,Eastern Asia,5.921,5.85,5.992,1.38007,1.06054,91.491,0.46761,0.18985,0.10224
Kazakhstan,Central and Eastern Europe,5.919,5.837,6.001,1.22943,0.95544,57.386,0.4052,0.11132,0.15011
Moldova,Central and Eastern Europe,5.897,5.823,5.971,0.69177,0.83132,52.309,0.25202,0.01903,0.19997
Russia,Central and Eastern Europe,5.856,5.789,5.923,1.23228,1.05261,58.991,0.32682,0.03586,0.02736
Poland,Central and Eastern Europe,5.835,5.749,5.921,1.24585,1.04685,69.058,0.4519,0.055,0.14443
South Korea,Eastern Asia,5.835,5.747,5.923,1.35948,0.72194,88.645,0.25168,0.07716,0.18824
Bolivia,Latin America and Caribbean,5.822,5.74,5.904,0.79422,0.83779,46.97,0.50961,0.07746,0.21698
Lithuania,Central and Eastern Europe,5.813,5.734,5.892,1.2692,1.06411,64.674,0.18929,0.0182,0.02025
Belarus,Central and Eastern Europe,5.802,5.723,5.881,1.13062,1.04993,63.104,0.29091,0.17457,0.13942
North Cyprus,Western Europe,5.771,5.67,5.872,1.31141,0.81826,84.142,0.43596,0.16578,0.26322
Slovenia,Central and Eastern Europe,5.768,5.683,5.853,1.29947,1.05613,79.151,0.53164,0.03635,0.25738
Peru,Latin America and Caribbean,5.743,5.647,5.839,0.99602,0.81255,62.994,0.37502,0.05292,0.14527
Turkmenistan,Central and Eastern Europe,5.658,5.58,5.736,1.08017,1.03817,44.006,0.37408,0.28467,0.22567
Mauritius,Sub-Saharan Africa,5.648,5.507,5.789,1.14372,0.75695,66.189,0.46145,0.05203,0.36951
Libya,Middle East and Northern Africa,5.615,5.406,5.824,1.06688,0.95076,52.304,0.40672,0.10339,0.17087
Latvia,Central and Eastern Europe,5.56,5.486,5.634,1.21788,0.95025,63.952,0.27996,0.0889,0.17445
Cyprus,Western Europe,5.546,5.442,5.65,1.31857,0.70697,84.88,0.29507,0.05228,0.27906
Paraguay,Latin America and Caribbean,5.538,5.453,5.623,0.89373,1.11111,58.295,0.46235,0.07396,0.25296
Romania,Central and Eastern Europe,5.528,5.427,5.629,1.1697,0.72803,67.602,0.36712,0.00679,0.12889
Estonia,Central and Eastern Europe,5.517,5.437,5.597,1.27964,1.05163,68.098,0.41511,0.18519,0.08423
Jamaica,Latin America and Caribbean,5.51,5.315,5.705,0.89333,0.96372,59.469,0.43597,0.04294,0.22245
Croatia,Central and Eastern Europe,5.488,5.402,5.574,1.18649,0.60809,70.524,0.23907,0.04002,0.18434
Hong Kong,Eastern Asia,5.458,5.362,5.554,1.5107,0.87021,95.277,0.48079,0.31647,0.40097
Somalia,Sub-Saharan Africa,5.44,5.321,5.559,0,0.33613,11.466,0.56778,0.3118,0.27225
Kosovo,Central and Eastern Europe,5.401,5.308,5.494,0.90145,0.66062,54,0.14396,0.06547,0.27992
Turkey,Middle East and Northern Africa,5.389,5.295,5.483,1.16492,0.87717,64.718,0.23889,0.12348,0.04707
Indonesia,Southeastern Asia,5.314,5.237,5.391,0.95104,0.87625,49.374,0.39237,0.00322,0.56521
Jordan,Middle East and Northern Africa,5.303,5.187,5.419,0.99673,0.86216,60.712,0.36023,0.13297,0.14262
Azerbaijan,Central and Eastern Europe,5.291,5.226,5.356,1.12373,0.76042,54.504,0.35327,0.17914,0.0564
Philippines,Southeastern Asia,5.279,5.16,5.398,0.81217,0.87877,47.036,0.54854,0.11757,0.21674
China,Eastern Asia,5.245,5.199,5.291,1.0278,0.79381,73.561,0.44012,0.02745,0.04959
Bhutan,Southern Asia,5.196,5.138,5.254,0.8527,0.90836,49.759,0.46074,0.1616,0.48546
Kyrgyzstan,Central and Eastern Europe,5.185,5.103,5.267,0.56044,0.95434,55.449,0.40212,0.04762,0.38432
Serbia,Central and Eastern Europe,5.177,5.083,5.271,1.03437,0.81329,64.58,0.15718,0.04339,0.20737
Bosnia and Herzegovina,Central and Eastern Europe,5.163,5.063,5.263,0.93383,0.64367,70.766,0.09511,0,0.29889
Montenegro,Central and Eastern Europe,5.161,5.055,5.267,1.07838,0.74173,63.533,0.15111,0.12721,0.17191
Dominican Republic,Latin America and Caribbean,5.155,5.037,5.273,1.02787,0.99496,57.669,0.52259,0.12372,0.21286
Morocco,Middle East and Northern Africa,5.151,5.058,5.244,0.84058,0.38595,59.471,0.25646,0.08404,0.04053
Hungary,Central and Eastern Europe,5.145,5.056,5.234,1.24142,0.93164,67.608,0.1977,0.04472,0.099
Pakistan,Southern Asia,5.132,5.038,5.226,0.68816,0.26135,40.306,0.14622,0.1388,0.31185
Lebanon,Middle East and Northern Africa,5.129,5.031,5.227,1.12268,0.64184,76.171,0.26228,0.03061,0.23693
Portugal,Western Europe,5.123,5.03,5.216,1.27607,0.94367,79.363,0.44727,0.01521,0.11691
Macedonia,Central and Eastern Europe,5.121,5.017,5.225,1.0193,0.78236,64.738,0.27668,0.07047,0.23507
Vietnam,Southeastern Asia,5.061,4.991,5.131,0.74037,0.79117,66.157,0.55954,0.11556,0.25075
Somaliland Region,Sub-Saharan Africa,5.057,4.934,5.18,0.25558,0.75862,33.108,0.3913,0.36794,0.51479
Tunisia,Middle East and Northern Africa,5.045,4.965,5.125,0.97724,0.43165,59.577,0.23553,0.0817,0.03936
Greece,Western Europe,5.033,4.935,5.131,1.24886,0.75473,80.029,0.05822,0.04127,0
Tajikistan,Central and Eastern Europe,4.996,4.923,5.069,0.48835,0.75602,53.119,0.43408,0.13509,0.25998
Mongolia,Eastern Asia,4.907,4.838,4.976,0.98853,1.08983,55.469,0.35972,0.03285,0.34539
Laos,Southeastern Asia,4.876,4.742,5.01,0.68042,0.5497,38.291,0.52168,0.22423,0.43079
Nigeria,Sub-Saharan Africa,4.875,4.75,5,0.75216,0.64498,5.108,0.27854,0.0305,0.23219
Honduras,Latin America and Caribbean,4.871,4.75,4.992,0.69429,0.75596,58.383,0.26755,0.06906,0.2044
Iran,Middle East and Northern Africa,4.813,4.703,4.923,1.11758,0.38857,64.232,0.22544,0.0557,0.38538
Zambia,Sub-Saharan Africa,4.795,4.645,4.945,0.61202,0.6376,23.573,0.42662,0.11479,0.17866
Nepal,Southern Asia,4.793,4.698,4.888,0.44626,0.69699,50.073,0.37012,0.07008,0.3816
Palestinian Territories,Middle East and Northern Africa,4.754,4.649,4.859,0.67024,0.71629,56.844,0.17744,0.10613,0.11154
Albania,Central and Eastern Europe,4.655,4.546,4.764,0.9553,0.50163,73.007,0.31866,0.05301,0.1684
Bangladesh,Southern Asia,4.643,4.56,4.726,0.54177,0.24749,52.989,0.39778,0.12583,0.19132
Sierra Leone,Sub-Saharan Africa,4.635,4.505,4.765,0.36485,0.628,0,0.30685,0.08196,0.23897
Iraq,Middle East and Northern Africa,4.575,4.446,4.704,1.07474,0.59205,51.076,0.24856,0.13636,0.19589
Namibia,Sub-Saharan Africa,4.574,4.374,4.774,0.93287,0.70362,34.745,0.48614,0.10398,0.07795
Cameroon,Sub-Saharan Africa,4.513,4.417,4.609,0.52497,0.62542,12.698,0.42736,0.06126,0.2268
Ethiopia,Sub-Saharan Africa,4.508,4.425,4.591,0.29283,0.37932,34.578,0.36703,0.1717,0.29522
South Africa,Sub-Saharan Africa,4.459,4.371,4.547,1.02416,0.96053,18.611,0.42483,0.08415,0.13656
Sri Lanka,Southern Asia,4.415,4.322,4.508,0.97318,0.84783,62.007,0.50817,0.07964,0.46978
India,Southern Asia,4.404,4.351,4.457,0.74036,0.29247,45.091,0.40285,0.08722,0.25028
Myanmar,Southeastern Asia,4.395,4.327,4.463,0.34112,0.69981,39.88,0.42692,0.20243,0.81971
Egypt,Middle East and Northern Africa,4.362,4.259,4.465,0.95395,0.49813,52.116,0.18847,0.10393,0.12706
Armenia,Central and Eastern Europe,4.36,4.266,4.454,0.86086,0.62477,64.083,0.14037,0.03616,0.07793
Kenya,Sub-Saharan Africa,4.356,4.259,4.453,0.52267,0.7624,30.147,0.40576,0.06686,0.41328
Ukraine,Central and Eastern Europe,4.324,4.236,4.412,0.87287,1.01413,58.628,0.12859,0.01829,0.20363
Ghana,Sub-Saharan Africa,4.276,4.185,4.367,0.63107,0.49353,29.681,0.40973,0.0326,0.21203
Congo (Kinshasa),Sub-Saharan Africa,4.272,4.191,4.353,0.05661,0.80676,18.8,0.15602,0.06075,0.25458
Georgia,Central and Eastern Europe,4.252,4.164,4.34,0.83792,0.19249,64.035,0.32461,0.3188,0.06786
Congo (Brazzaville),Sub-Saharan Africa,4.236,4.107,4.365,0.77109,0.47799,28.212,0.37938,0.09753,0.12077
Senegal,Sub-Saharan Africa,4.219,4.151,4.287,0.44314,0.77416,40.457,0.31056,0.11681,0.19103
Bulgaria,Central and Eastern Europe,4.217,4.104,4.33,1.11306,0.92542,67.806,0.21219,0.00615,0.12793
Mauritania,Sub-Saharan Africa,4.201,4.127,4.275,0.61391,0.84142,28.639,0.1268,0.17955,0.22686
Zimbabwe,Sub-Saharan Africa,4.193,4.101,4.285,0.35041,0.71478,15.95,0.25429,0.08582,0.18503
Malawi,Sub-Saharan Africa,4.156,4.041,4.271,0.08709,0.147,29.364,0.4143,0.07564,0.30968
Sudan,Sub-Saharan Africa,4.139,3.928,4.35,0.63069,0.81928,29.759,0,0.10039,0.18077
Gabon,Sub-Saharan Africa,4.121,4.03,4.212,1.15851,0.72368,34.94,0.28098,0.09314,0.06244
Mali,Sub-Saharan Africa,4.073,3.988,4.158,0.31292,0.86333,16.347,0.27544,0.13647,0.21064
Haiti,Latin America and Caribbean,4.028,3.893,4.163,0.34097,0.29561,27.494,0.12072,0.14476,0.47958
Botswana,Sub-Saharan Africa,3.974,3.875,4.073,1.09426,0.89186,34.752,0.44089,0.10769,0.12425
Comoros,Sub-Saharan Africa,3.956,3.86,4.052,0.27509,0.60323,29.981,0.15412,0.18437,0.1827
Ivory Coast,Sub-Saharan Africa,3.916,3.826,4.006,0.55507,0.57576,4.476,0.40663,0.1553,0.20338
Cambodia,Southeastern Asia,3.907,3.798,4.016,0.55604,0.5375,42.494,0.58852,0.08092,0.40339
Angola,Sub-Saharan Africa,3.866,3.753,3.979,0.84731,0.66366,4.991,0.00589,0.08434,0.12071
Niger,Sub-Saharan Africa,3.856,3.781,3.931,0.1327,0.6053,26.162,0.38041,0.17176,0.2097
South Sudan,Sub-Saharan Africa,3.832,3.596,4.068,0.39394,0.18519,15.781,0.19662,0.13015,0.25899
Chad,Sub-Saharan Africa,3.763,3.672,3.854,0.42214,0.63178,3.824,0.12807,0.04952,0.18667
Burkina Faso,Sub-Saharan Africa,3.739,3.647,3.831,0.31995,0.63054,21.297,0.3337,0.12533,0.24353
Uganda,Sub-Saharan Africa,3.739,3.629,3.849,0.34719,0.90981,19.625,0.43653,0.06442,0.27102
Yemen,Middle East and Northern Africa,3.724,3.621,3.827,0.57939,0.47493,31.048,0.2287,0.05892,0.09821
Madagascar,Sub-Saharan Africa,3.695,3.621,3.769,0.27954,0.46115,37.109,0.13684,0.07506,0.2204
Tanzania,Sub-Saharan Africa,3.666,3.561,3.771,0.47155,0.77623,35.7,0.3176,0.05099,0.31472
Liberia,Sub-Saharan Africa,3.622,3.463,3.781,0.10706,0.50353,23.165,0.25748,0.04852,0.24063
Guinea,Sub-Saharan Africa,3.607,3.533,3.681,0.22415,0.3109,18.829,0.30953,0.1192,0.29914
Rwanda,Sub-Saharan Africa,3.515,3.444,3.586,0.32846,0.61586,31.865,0.5432,0.50521,0.23552
Benin,Sub-Saharan Africa,3.484,3.404,3.564,0.39499,0.10419,21.028,0.39747,0.06681,0.2018
Afghanistan,Southern Asia,3.36,3.288,3.432,0.38227,0.11037,17.344,0.1643,0.07112,0.31268
Togo,Sub-Saharan Africa,3.303,3.192,3.414,0.28123,0,24.811,0.34678,0.11587,0.17517
Syria,Middle East and Northern Africa,3.069,2.936,3.202,0.74719,0.14866,62.994,0.06912,0.17233,0.48397
Burundi,Sub-Saharan Africa,2.905,2.732,3.078,0.06831,0.23442,15.747,0.0432,0.09419,0.2029
